global_iso_id,nu,sw,n_air,gamma_self,elower,nu-err,sw-err,n_air-err,gamma_self-err,nu-ref,sw-ref,n_air-ref,gamma_self-ref
1,3440.61395,4.68e-23,0.62,0.35,756.7247,5,5,4,4,15,15,819,78
1,3440.684565,2.367e-28,0.69,0.412,4224.8511,4,4,3,2,762,26,819,817
1,3440.72264,1.944e-23,0.64,0.434,285.2193,5,5,3,5,15,15,778,817
1,3440.75048,6.253e-26,0.24,0.25,2042.3727,4,5,4,2,15,15,819,817
1,3440.754484,7.842e-29,0.69,0.412,4224.8169,3,4,3,2,762,26,819,817
1,3440.80199,9.763e-24,0.61,0.352,927.7439,5,5,4,2,15,15,819,817
1,3440.907764,1.179e-29,0.38,0.208,3758.3955,3,4,3,2,762,26,101,817
1,3440.94918,8.431e-26,0.62,0.371,2211.1904,5,5,4,2,15,15,819,817
1,3441.002101,1.169e-29,0.67,0.391,4195.9707,4,4,8,6,762,26,819,817
1,3441.255817,2.084e-27,0.36,0.235,3264.3362,4,4,3,2,762,26,101,817
1,3441.32615,1.315e-23,0.57,0.297,1122.7083,5,5,4,5,15,15,819,89
1,3441.443562,1.308e-29,0.62,0.371,4190.2622,3,4,8,6,762,26,819,817
1,3441.49735,1.585e-24,0.39,0.193,1525.135,4,5,4,5,15,15,819,89
1,3441.534362,2.997e-28,0.61,0.391,3976.3081,4,4,4,5,762,26,778,817
1,3441.540643,7.361e-28,0.36,0.221,3629.0942,3,4,3,2,762,26,101,817
1,3441.741502,1.449e-28,0.69,0.412,4126.4634,4,4,3,2,762,26,819,817
1,3441.87126,4.357e-25,0.57,0.333,2495.1658,5,5,8,6,15,15,819,817
1,3441.888453,2.165e-29,0.57,0.333,4525.9639,4,4,3,2,762,26,819,817
1,3442.003288,3.194e-29,0.86,0.352,4484.9922,4,4,5,6,762,26,778,817
1,3442.0776,1.275e-22,0.6,0.315,1201.921,5,5,5,6,15,15,778,817
1,3442.127617,1.406e-29,0.67,0.352,4572.4463,4,4,6,8,762,26,778,817
1,3442.17657,6.374e-23,0.57,0.352,782.4098,5,5,4,2,15,15,819,817
1,3442.178347,1.857e-29,0.62,0.371,4394.4644,4,4,3,2,762,26,819,817
1,3442.305975,4.645e-28,0.69,0.456,3887.1143,4,4,3,2,762,26,819,817
1,3442.315725,8.996e-27,0.36,0.235,2550.8816,3,5,4,2,762,15,101,817
1,3442.473764,4.512e-28,0.39,0.265,3770.8779,3,4,3,2,762,26,819,817
1,3442.50299,3.05e-21,0.74,0.45,508.812,5,5,4,7,15,15,778,89
1,3442.63528,6.374e-25,0.51,0.298,2054.3447,5,5,4,2,15,15,819,817
1,3442.64264,4.438e-24,0.39,0.281,1524.8473,5,5,4,2,15,15,819,817
1,3442.647034,1.476e-28,0.71,0.434,4030.3059,4,4,8,6,762,26,819,817
1,3442.75599,1.598e-24,0.56,0.315,1340.8845,4,5,4,2,15,15,819,817
1,3442.78024,2.618e-23,0.61,0.352,1216.1945,5,5,4,2,15,15,819,817
1,3442.81173,5.308e-28,0.36,0.25,2248.0632,3,4,3,2,762,26,819,817
1,3442.84659,2.287e-25,0.51,0.298,2054.3682,5,5,4,2,15,15,819,817
1,3442.991454,4.4e-28,0.71,0.434,4030.0698,3,4,3,2,762,26,819,817
1,3443.10249,9.198e-23,0.48,0.348,1998.9948,5,5,4,5,15,15,819,89
1,3443.11275,5.89e-25,0.69,0.412,2005.9167,5,5,8,6,15,15,819,817
1,3443.2035,1.856e-22,0.42,0.318,1080.3853,5,5,5,6,15,15,778,89
1,3443.230198,1.159e-28,0.67,0.412,3598.7266,4,4,3,2,762,26,819,817
1,3443.243883,2.342e-29,0.56,0.315,5022.2808,4,4,3,2,762,26,819,817
1,3443.47203,1.085e-26,0.39,0.281,2144.0459,4,5,4,2,15,15,819,817
1,3443.472598,8.363e-27,0.57,0.333,2771.6899,4,4,3,2,762,26,819,817
